Country,DTP
Afghanistan,66
Albania,99
Algeria,91
Andorra,99
Angola,57
Antigua and Barbuda,95
Argentina,86
Armenia,92
Australia,95
Austria,85
Azerbaijan,94
Bahamas,86
Bahrain,99
Bangladesh,98
Barbados,90
Belarus,98
Belgium,98
Belize,98
Benin,76
Bhutan,97
Bolivia (Plurinational State of),75
Bosnia and Herzegovina,73
Botswana,95
Brazil,73
Brunei Darussalam,99
Bulgaria,92
Burkina Faso,91
Burundi,93
Cabo Verde,96
Cambodia,92
Cameroon,67
Canada,91
Central African Republic,47
Chad,50
Chile,96
China,99
Colombia,92
Comoros,91
Congo,79
Cook Islands,98
Costa Rica,95
Côte d'Ivoire,84
Croatia,94
Cuba,99
Cyprus,96
Czechia,97
Democratic People's Republic of Korea,97
Democratic Republic of the Congo,57
Denmark,97
Djibouti,85
Dominica,99
Dominican Republic,89
Ecuador,85
Egypt,95
El Salvador,81
Equatorial Guinea,53
Eritrea,95
Estonia,91
Eswatini,90
Ethiopia,69
Fiji,99
Finland,91
France,96
Gabon,70
Gambia,88
Georgia,94
Germany,93
Ghana,97
Greece,99
Grenada,92
Guatemala,85
Guinea,47
Guinea-Bissau,84
Guyana,99
Haiti,51
Honduras,87
Hungary,99
Iceland,91
India,91
Indonesia,85
Iran (Islamic Republic of),99
Iraq,84
Ireland,94
Israel,98
Italy,95
Jamaica,96
Japan,98
Jordan,89
Kazakhstan,97
Kenya,92
Kiribati,97
Kuwait,91
Kyrgyzstan,95
Lao People's Democratic Republic,68
Latvia,99
Lebanon,83
Lesotho,87
Liberia,74
Libya,73
Lithuania,92
Luxembourg,99
Madagascar,79
Malawi,95
Malaysia,98
Maldives,99
Mali,77
Malta,98
Marshall Islands,79
Mauritania,81
Mauritius,96
Mexico,82
Micronesia (Federated States of),78
Monaco,99
Mongolia,98
Montenegro,86
Morocco,99
Mozambique,88
Myanmar,90
Namibia,87
Nauru,96
Nepal,93
Netherlands,94
New Zealand,92
Nicaragua,98
Niger,81
Nigeria,57
Niue,99
Norway,97
Oman,99
Pakistan,75
Palau,97
Panama,88
Papua New Guinea,35
Paraguay,86
Peru,88
Philippines,65
Poland,95
Portugal,99
Qatar,98
Republic of Korea,98
Republic of Moldova,91
North Macedonia,92
Romania,88
Russian Federation,97
Rwanda,98
Saint Kitts and Nevis,96
Saint Lucia,92
Saint Vincent and the Grenadines,97
Samoa,58
San Marino,88
Sao Tome and Principe,95
Saudi Arabia,96
Senegal,93
Serbia,97
Seychelles,99
Sierra Leone,95
Singapore,96
Slovakia,97
Slovenia,95
Solomon Islands,94
Somalia,42
South Africa,77
South Sudan,49
Spain,96
Sri Lanka,99
Sudan,93
Suriname,77
Sweden,98
Switzerland,96
Syrian Arab Republic,54
Tajikistan,97
Thailand,97
Timor-Leste,83
Togo,84
Tonga,99
Trinidad and Tobago,93
Tunisia,92
Turkey,99
Turkmenistan,99
Tuvalu,92
Uganda,93
Ukraine,80
United Arab Emirates,99
United Kingdom of Great Britain and Northern Ireland,93
United Republic of Tanzania,89
United States of America,94
Uruguay,94
Uzbekistan,96
Vanuatu,90
Venezuela (Bolivarian Republic of),64
Viet Nam,89
Yemen,73
Zambia,88
Zimbabwe,90
