Country Name,Code,GDP
Afghanistan,AFG,19291104008
Albania,ALB,15279183290
Algeria,DZA,1.71091E+11
American Samoa,ASM,
Andorra,ADO,3154057987
Angola,AGO,88815697793
Antigua and Barbuda,ATG,1661962963
Arab World,ARB,2.81741E+12
Argentina,ARG,4.45445E+11
Armenia,ARM,13672802158
Aruba,ABW,
Australia,AUS,1.39657E+12
Austria,AUT,4.45075E+11
Azerbaijan,AZE,48047647059
"Bahamas, The",BHS,13578800000
Bahrain,BHR,38574069149
Bangladesh,BGD,3.02571E+11
Barbados,BRB,5209000000
Belarus,BLR,63080457023
Belgium,BEL,5.33097E+11
Belize,BLZ,1879613600
Benin,BEN,14390709095
Bermuda,BMU,7484113000
Bhutan,BTN,2530547158
Bolivia,BOL,40895322844
Bosnia and Herzegovina,BIH,20164193807
Botswana,BWA,18340480936
Brazil,BRA,1.83976E+12
British Virgin Islands,VGB,
Brunei Darussalam,BRN,13469422959
Bulgaria,BGR,68558815112
Burkina Faso,BFA,15990803570
Burundi,BDI,3012334882
Cabo Verde,CPV,1981845740
Cambodia,KHM,27089389787
Cameroon,CMR,39007354359
Canada,CAN,1.73643E+12
Caribbean small states,CSS,77721714918
Cayman Islands,CYM,
Central African Republic,CAF,2220307369
Central Europe and the Baltics,CEB,1.66885E+12
Chad,TCD,11314951343
Channel Islands,CHI,
Chile,CHL,2.82318E+11
China,CHN,1.43429E+13
Colombia,COL,3.23616E+11
Comoros,COM,1165839927
"Congo, Dem. Rep.",ZAR,50400746171
"Congo, Rep.",COG,12267392147
Costa Rica,CRI,61801385049
Cote d'Ivoire,CIV,58539424930
Croatia,HRV,60752588976
Cuba,CUB,
Curacao,CUW,3101787710
Cyprus,CYP,24948935408
Czech Republic,CZE,2.50681E+11
Denmark,DNK,3.50104E+11
Djibouti,DJI,3324634256
Dominica,DMA,582403703.7
Dominican Republic,DOM,88941299734
Early-demographic dividend,EAR,1.19899E+13
East Asia & Pacific,EAS,2.69878E+13
East Asia & Pacific (excluding high income),EAP,1.72148E+13
East Asia & Pacific (IDA & IBRD countries),TEA,1.71819E+13
Ecuador,ECU,1.07436E+11
"Egypt, Arab Rep.",EGY,3.03092E+11
El Salvador,SLV,27022640000
Equatorial Guinea,GNQ,11026774945
