Country,M2
Afghanistan,39
Albania,96
Algeria,77
Andorra,95
Angola,45
Antigua and Barbuda,95
Argentina,89
Armenia,96
Australia,94
Austria,84
Azerbaijan,97
Bahamas,82
Bahrain,99
Bangladesh,95
Barbados,77
Belarus,98
Belgium,85
Belize,95
Bhutan,92
Bolivia (Plurinational State of),44
Bosnia and Herzegovina,76
Botswana,76
Brazil,54
Brunei Darussalam,98
Bulgaria,87
Burkina Faso,71
Burundi,80
Cabo Verde,91
Cambodia,82
Canada,87
Chile,91
China,98
Colombia,88
Congo,9
Cook Islands,98
Costa Rica,93
Croatia,95
Cuba,99
Cyprus,88
Czechia,84
Democratic People's Republic of Korea,98
Denmark,90
Djibouti,81
Dominica,92
Dominican Republic,60
Ecuador,76
Egypt,94
El Salvador,87
Eritrea,88
Estonia,90
Eswatini,75
Ethiopia,41
Fiji,94
Finland,93
France,83
Gambia,61
Georgia,97
Germany,93
Ghana,83
Greece,83
Grenada,82
Guatemala,78
Guyana,92
Haiti,41
Honduras,85
Hungary,99
Iceland,95
India,84
Indonesia,71
Iran (Islamic Republic of),98
Iraq,86
Israel,96
Italy,88
Jamaica,92
Japan,93
Jordan,96
Kazakhstan,98
Kenya,45
Kiribati,91
Kuwait,94
Kyrgyzstan,98
Lao People's Democratic Republic,57
Latvia,96
Lebanon,63
Lesotho,82
Liberia,13
Libya,72
Lithuania,93
Luxembourg,90
Malawi,75
Malaysia,87
Maldives,99
Mali,4
Malta,95
Marshall Islands,64
Mauritius,99
Mexico,73
Micronesia (Federated States of),52
Monaco,79
Mongolia,98
Montenegro,86
Morocco,99
Mozambique,85
Myanmar,80
Namibia,56
Nauru,95
Nepal,76
Netherlands,90
New Zealand,90
Nicaragua,99
Niger,58
Nigeria,9
Niue,99
Norway,95
Oman,99
Pakistan,71
Palau,88
Panama,97
Papua New Guinea,20
Paraguay,83
Peru,66
Philippines,40
Poland,92
Portugal,96
Qatar,95
Republic of Korea,96
Republic of Moldova,95
North Macedonia,94
Romania,76
Russian Federation,97
Rwanda,92
Saint Kitts and Nevis,98
Saint Lucia,75
Saint Vincent and the Grenadines,99
Samoa,44
San Marino,79
Sao Tome and Principe,81
Saudi Arabia,96
Senegal,78
Serbia,91
Seychelles,99
Sierra Leone,72
Singapore,84
Slovakia,98
Slovenia,94
Solomon Islands,54
South Africa,54
Spain,94
Sri Lanka,99
Sudan,74
Suriname,58
Sweden,95
Switzerland,90
Syrian Arab Republic,54
Tajikistan,97
Thailand,87
Timor-Leste,80
Togo,67
Tonga,99
Trinidad and Tobago,92
Tunisia,93
Turkey,88
Turkmenistan,99
Tuvalu,92
Ukraine,92
United Arab Emirates,99
United Kingdom of Great Britain and Northern Ireland,87
United Republic of Tanzania,72
United States of America,95
Uruguay,99
Uzbekistan,99
Venezuela (Bolivarian Republic of),13
Viet Nam,92
Yemen,46
Zambia,66
Zimbabwe,75
