Country,ROTAC
Afghanistan,55
Angola,58
Argentina,72
Armenia,92
Australia,87
Austria,61
Bahamas,78
Bahrain,99
Belgium,87
Bolivia (Plurinational State of),78
Botswana,86
Brazil,83
Bulgaria,31
Burkina Faso,91
Burundi,95
Cameroon,65
Canada,79
Colombia,90
Congo,71
Costa Rica,59
Côte d'Ivoire,70
Djibouti,88
Dominican Republic,80
Ecuador,85
El Salvador,82
Eritrea,96
Estonia,81
Eswatini,87
Ethiopia,68
Fiji,99
Finland,83
Gambia,90
Georgia,81
Germany,68
Ghana,93
Greece,20
Guatemala,86
Guinea-Bissau,84
Guyana,99
Haiti,48
Honduras,88
India,53
Iraq,5
Ireland,89
Israel,81
Italy,61
Jordan,86
Kenya,92
Kiribati,99
Kuwait,69
Latvia,85
Lesotho,87
Liberia,63
Libya,73
Lithuania,45
Luxembourg,89
Madagascar,79
Malawi,92
Mali,63
Marshall Islands,60
Mauritania,76
Mauritius,96
Mexico,82
Micronesia (Federated States of),36
Morocco,98
Mozambique,88
Namibia,90
New Zealand,86
Nicaragua,98
Niger,78
Niue,99
Norway,95
Pakistan,75
Palau,92
Panama,94
Paraguay,86
Peru,90
Philippines,
Qatar,95
Republic of Moldova,66
Rwanda,98
Sao Tome and Principe,95
Saudi Arabia,95
Senegal,94
Seychelles,99
Sierra Leone,92
South Africa,73
Sudan,94
Tajikistan,97
Togo,80
Turkmenistan,4
Uganda,87
United Arab Emirates,92
United Kingdom of Great Britain and Northern Ireland,90
United Republic of Tanzania,85
United States of America,74
Uzbekistan,48
Venezuela (Bolivarian Republic of),
Yemen,73
Zambia,90
Zimbabwe,92
